timestamp,Infrared to Red Signal Ratio
05/10/19 03:53:01,0
05/10/19 03:54:01,-16
05/10/19 03:55:01,-29
05/10/19 03:56:01,-38
05/10/19 03:57:01,-11
05/10/19 03:58:01,-4
05/10/19 03:59:01,-2
05/10/19 04:00:02,-5
05/10/19 04:01:02,-1
05/10/19 04:02:02,0
05/10/19 04:03:03,-1
05/10/19 04:04:04,3
05/10/19 04:05:04,-3
05/10/19 04:06:04,-2
05/10/19 04:07:04,-12
05/10/19 04:08:04,-5
05/10/19 04:09:04,-6
05/10/19 04:10:04,-23
05/10/19 04:11:04,-2
05/10/19 04:12:04,-5
05/10/19 04:13:04,5
05/10/19 04:14:04,-19
05/10/19 04:15:04,-23
05/10/19 04:16:04,-3
05/10/19 04:17:04,-1
05/10/19 04:18:04,0
05/10/19 04:19:04,-11
05/10/19 04:20:04,2
05/10/19 04:21:05,-6
05/10/19 04:22:05,-1
05/10/19 04:23:05,0
05/10/19 04:24:05,-5
05/10/19 04:25:05,8
05/10/19 04:26:05,-1
05/10/19 04:27:05,-1
05/10/19 04:28:05,2
05/10/19 04:29:05,-3
05/10/19 04:30:05,-1
05/10/19 04:31:05,-1
05/10/19 04:32:05,1
05/10/19 04:33:05,-3
05/10/19 04:34:05,-1
05/10/19 04:35:05,0
05/10/19 04:36:05,-1
05/10/19 04:37:05,0
05/10/19 04:38:05,-2
05/10/19 04:39:06,-1
05/10/19 04:40:06,1
05/10/19 04:41:06,4
05/10/19 04:42:06,-1
05/10/19 04:43:06,1
05/10/19 04:44:06,0
05/10/19 04:45:06,-2
05/10/19 04:46:06,-4
05/10/19 04:47:06,0
05/10/19 04:48:06,-1
05/10/19 04:49:06,0
05/10/19 04:50:06,-7
05/10/19 04:51:07,6
05/10/19 04:52:07,0
05/10/19 04:53:07,-1
05/10/19 04:54:07,-1
05/10/19 04:55:07,1
05/10/19 04:56:09,1
05/10/19 04:57:09,-1
05/10/19 04:58:09,0
05/10/19 04:59:09,0
05/10/19 05:00:09,-2
05/10/19 05:01:09,-9
05/10/19 05:02:09,-1
05/10/19 05:03:09,-12
05/10/19 05:04:10,-3
05/10/19 05:05:10,0
05/10/19 05:06:11,0
05/10/19 05:07:11,2
05/10/19 05:08:11,0
05/10/19 05:09:11,0
05/10/19 05:10:11,1
05/10/19 05:11:12,13
05/10/19 05:12:12,29
05/10/19 05:13:13,2
05/10/19 05:14:13,0
05/10/19 05:15:13,-3
05/10/19 05:16:13,-1
05/10/19 05:17:13,-3
05/10/19 05:18:13,0
05/10/19 05:19:13,0
05/10/19 05:20:13,0
05/10/19 05:21:13,-1
05/10/19 05:22:13,-14
05/10/19 05:23:13,0
05/10/19 05:24:13,1
05/10/19 05:25:13,6
05/10/19 05:26:13,-3
05/10/19 05:27:13,4
05/10/19 05:28:13,-1
05/10/19 05:29:13,-7
05/10/19 05:30:14,-9
05/10/19 05:31:14,-1
05/10/19 05:32:14,-1
05/10/19 05:33:14,-3
05/10/19 05:34:14,1
05/10/19 05:35:14,7
05/10/19 05:36:14,-1
05/10/19 05:37:14,0
05/10/19 05:38:14,-5
05/10/19 05:39:14,0
05/10/19 05:40:14,0
05/10/19 05:41:14,-1
05/10/19 05:42:14,-1
05/10/19 05:43:14,-3
05/10/19 05:44:14,-3
05/10/19 05:45:14,-2
05/10/19 05:46:14,-1
05/10/19 05:47:15,-1
05/10/19 05:48:15,0
05/10/19 05:49:15,0
05/10/19 05:50:15,-8
05/10/19 05:51:15,0
05/10/19 05:52:15,0
05/10/19 05:53:15,0
05/10/19 05:54:15,-6
05/10/19 05:55:15,0
05/10/19 05:56:15,-5
05/10/19 05:57:15,0
05/10/19 05:58:15,-1
05/10/19 05:59:15,0
05/10/19 06:00:15,0
05/10/19 06:01:15,0
05/10/19 06:02:15,0
05/10/19 06:03:15,-9
05/10/19 06:04:16,-1
05/10/19 06:05:16,-1
05/10/19 06:06:16,0
05/10/19 06:07:16,-10
05/10/19 06:08:16,-2
05/10/19 06:09:16,-4
05/10/19 06:10:16,-11
05/10/19 06:11:16,-9
05/10/19 06:12:16,8
05/10/19 06:13:16,-19
05/10/19 06:14:16,9
05/10/19 06:15:16,-1
05/10/19 06:16:16,0
05/10/19 06:17:16,10
05/10/19 06:18:16,-1
