timestamp,bucket_values
2021-06-01T09:31:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.003, 0.007, 0.018, 0.035, 0.062, 0.107, 0.152, 0.176, 0.17, 0.144, 0.086, 0.03, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-02T09:00:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.006, 0.01, 0.022, 0.049, 0.069, 0.11, 0.164, 0.191, 0.166, 0.101, 0.061, 0.029, 0.011, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-03T10:55:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.002, 0.003, 0.007, 0.023, 0.058, 0.096, 0.144, 0.178, 0.187, 0.145, 0.095, 0.043, 0.013, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-04T10:59:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.006, 0.014, 0.057, 0.108, 0.118, 0.128, 0.19, 0.202, 0.126, 0.039, 0.007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-05T09:02:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.005, 0.013, 0.053, 0.108, 0.123, 0.109, 0.093, 0.111, 0.121, 0.114, 0.076, 0.041, 0.019, 0.008, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-06T12:21:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.006, 0.008, 0.015, 0.029, 0.059, 0.098, 0.146, 0.214, 0.214, 0.142, 0.051, 0.012, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-08T08:49:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.005, 0.018, 0.018, 0.03, 0.077, 0.169, 0.263, 0.243, 0.119, 0.038, 0.01, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-09T07:37:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.006, 0.01, 0.028, 0.087, 0.168, 0.2, 0.202, 0.168, 0.095, 0.027, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-10T07:44:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.006, 0.008, 0.017, 0.036, 0.065, 0.143, 0.216, 0.206, 0.142, 0.081, 0.04, 0.024, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-11T09:10:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.003, 0.007, 0.006, 0.014, 0.031, 0.062, 0.112, 0.192, 0.263, 0.202, 0.082, 0.018, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-11T11:08:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.003, 0.007, 0.006, 0.014, 0.031, 0.062, 0.112, 0.192, 0.263, 0.202, 0.082, 0.018, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-12T10:25:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.007, 0.009, 0.026, 0.054, 0.094, 0.159, 0.227, 0.209, 0.135, 0.054, 0.014, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-13T12:15:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.001, 0.001, 0.003, 0.018, 0.077, 0.217, 0.311, 0.238, 0.116, 0.016, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-14T08:38:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.003, 0.003, 0.003, 0.007, 0.027, 0.071, 0.126, 0.187, 0.241, 0.187, 0.104, 0.03, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-15T08:10:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.003, 0.009, 0.016, 0.045, 0.115, 0.182, 0.219, 0.183, 0.127, 0.067, 0.023, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-16T09:32:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.002, 0.008, 0.009, 0.012, 0.019, 0.05, 0.12, 0.203, 0.22, 0.177, 0.102, 0.051, 0.017, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-17T10:27:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.007, 0.009, 0.009, 0.017, 0.033, 0.062, 0.136, 0.226, 0.23, 0.155, 0.076, 0.026, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-18T10:30:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.005, 0.009, 0.012, 0.031, 0.103, 0.18, 0.235, 0.211, 0.135, 0.058, 0.013, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-19T08:51:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.003, 0.004, 0.007, 0.015, 0.046, 0.114, 0.193, 0.235, 0.187, 0.11, 0.051, 0.022, 0.006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-20T09:49:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.003, 0.006, 0.025, 0.042, 0.068, 0.095, 0.113, 0.143, 0.177, 0.162, 0.106, 0.044, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-21T07:49:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.005, 0.008, 0.02, 0.053, 0.091, 0.151, 0.211, 0.223, 0.135, 0.065, 0.024, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-21T12:40:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-22T07:28:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.005, 0.01, 0.019, 0.057, 0.14, 0.176, 0.207, 0.21, 0.13, 0.035, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-23T09:07:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.004, 0.004, 0.005, 0.01, 0.017, 0.041, 0.091, 0.147, 0.186, 0.2, 0.167, 0.096, 0.024, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-23T12:02:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.004, 0.004, 0.005, 0.01, 0.017, 0.041, 0.091, 0.147, 0.186, 0.2, 0.167, 0.096, 0.024, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-24T09:44:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.004, 0.006, 0.01, 0.018, 0.042, 0.086, 0.137, 0.199, 0.218, 0.164, 0.075, 0.027, 0.006, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-26T08:39:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.004, 0.005, 0.008, 0.022, 0.036, 0.064, 0.116, 0.201, 0.23, 0.177, 0.09, 0.03, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-26T10:29:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.004, 0.005, 0.008, 0.022, 0.036, 0.064, 0.116, 0.201, 0.23, 0.177, 0.09, 0.03, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-27T07:54:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.005, 0.007, 0.009, 0.012, 0.026, 0.058, 0.126, 0.197, 0.211, 0.165, 0.099, 0.056, 0.018, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-27T10:52:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.005, 0.007, 0.009, 0.012, 0.026, 0.058, 0.126, 0.197, 0.211, 0.165, 0.099, 0.056, 0.018, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-28T11:27:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.006, 0.009, 0.014, 0.041, 0.079, 0.134, 0.22, 0.253, 0.17, 0.055, 0.012, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2021-06-30T07:04:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.008, 0.012, 0.025, 0.077, 0.183, 0.27, 0.243, 0.126, 0.038, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
