timestamp,average_value,lower_bound,upper_bound
2020-09-12T00:00:00Z,94.6,93.9,95.0
2020-09-13T00:00:00Z,95.5,93.1,97.4
2020-09-16T00:00:00Z,94.2,93.3,95.0
2020-09-20T00:00:00Z,94.5,92.4,96.6
2020-09-21T00:00:00Z,93.2,91.3,94.8
2020-09-22T00:00:00Z,93.7,91.6,95.9
2020-09-24T00:00:00Z,94.5,93.5,96.0
2020-09-25T00:00:00Z,95.1,92.3,97.9
2020-11-25T00:00:00Z,95.8,94.3,97.6
2020-11-26T00:00:00Z,93.8,91.5,95.5
2020-11-27T00:00:00Z,95.8,94.5,97.0
2020-11-28T00:00:00Z,93.9,89.8,97.9
2020-11-29T00:00:00Z,95.5,93.3,98.9
2020-11-30T00:00:00Z,94.6,90.4,96.6
2020-12-01T00:00:00Z,92.4,89.9,94.6
2020-12-02T00:00:00Z,93.6,92.0,95.5
2020-12-03T00:00:00Z,91.7,90.5,94.1
2020-12-04T00:00:00Z,92.8,89.5,95.5
2020-12-05T00:00:00Z,93.1,91.5,94.5
2020-12-06T00:00:00Z,95.3,91.0,97.9
2020-12-07T00:00:00Z,93.1,93.0,94.0
